Location ZIP [Public School] 2011-12,School Name,ScriptEd,NAF/DOE,CTE,MOUSE,CSNYC,Bootstrap,SGD,SEP,TEALS,ECS,ASE,C/I,AP CS A,Club,Charter,CS Courses?,Address,Website,County,City,Lowest Grade Offered,Highest Grade Offered,Total Students 9th-12th [DOE 2013-14],9th Grade,10th Grade,11th Grade,12th Grade,Free Lunch % (Inside Schools),Free & Reduced Lunch (NCES  2011-12/2012-13),% eligible for free or reduced lunch (DOE 2013-14)
10459,PEACE AND DIVERSITY ACADEMY,,,,,,,,,,,,,,,,None - No AP and few extracurriculars,"1180 Rev James A Polite Avenue, Bronx, NY 10459",http://insideschools.org/component/schools/school/333,,BRONX,9th Grade,12th Grade,189,44,56,29,60,,,91.0%
10461,PELHAM LAB HIGH SCHOOL,,,,,,,,,,,,,,,,technology-based lessons & instruction,"3000 East Tremont Avenue, Bronx NY 10461",http://insideschools.org/component/schools/school/8250,,Bronx,9th Grade,10th Grade,95,95,0,0,0,,,100.0%
11432,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,,,,,,,,,,,,,,,,None,400 PENNSYLVANIA AVE,http://insideschools.org/component/schools/school/828,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,428,121,145,85,77,,,92.1%
11235,PROFESSIONAL PATHWAYS HIGH SCHOOL,,,,,,,,,,,,,,,,Computer and Career focused; older students,"3000 Avenue X, Brooklyn 11235",http://insideschools.org/component/schools/school/8284,,BROOKLYN,9th Grade,12th Grade,105,18,35,31,21,,,84.8%
11211,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,,,,,,,,,,,,,,,,Teaching program for CISCO certification; ,"850 Grand Street, Brooklyn, NY 11211","http://www.progresshighschool.org/
http://insideschools.org/component/schools/school/650",,BROOKLYN,9th Grade,12th Grade,1083,311,415,227,130,,,87.3%
10461,Providing Urban Learners Success In Education High School,,,,,,,,,,,,,,,,Unclear; transfer school; uses LTW,560 EAST 179TH ST,http://insideschools.org/component/schools/school/1328?Itemid=64,BRONX COUNTY,BRONX,9th Grade,12th Grade,227,19,78,74,56,,,86.3%
10455,QUEENS ACADEMY HIGH SCHOOL,,,,,,,,,,,,,,,,None; Transfer alternative HS,13811 35TH AVE,http://www.queensacademyhs.com/academics,QUEENS COUNTY,FLUSHING,10th Grade,12th Grade,362,0,65,102,195,,,73.2%
11432,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,,,,,,,,,,,,,,,,None; 718-658-4016,"167-01 GOTHIC DRIVE; Jamaica, NY 11432",https://queenscollegiate.wordpress.com/,,Queens,6th Grade,12th Grade,397,96,109,89,103,,,86.9%
10456,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,,,,,,,,,,,,,,,,None; Medicine-focused; research at Queens Hospital;,16020 GOETHALS AVE,http://insideschools.org/component/schools/school/1185,QUEENS COUNTY,JAMAICA,6th Grade,12th Grade,502,116,127,142,117,,,73.9%
11691,"Queens High School for Information, Research & Technology (QIRT)",,,YES,,,,,,,,,,,,,Unclear,"8-21 Bay 25th Street, Far Rockaway, NY 11691",http://insideschools.org/component/schools/school/1517?Itemid=64,,Queens,9th Grade,12th Grade,322,115,78,66,63,,,80.1%
11354,Queens High School of Language Studies,,,,,YES,,,,,YES,,,,YES,,Computer Programming Club,"35-01 UNION STREET, Queens, NY 11354",http://insideschools.org/component/schools/school/8245,,Queens,9th Grade,10th Grade,70,70,0,0,0,,,92.9%
11432,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,,,,,,,,,,,,,,,,Transfer students; business internships available,"162-02 HILLSIDE AVENUE, Queens NY 11432",http://insideschools.org/component/schools/school/8179,,Queens,9th Grade,12th Grade,254,47,87,61,59,,,83.1%
11101,Queens Vocational and Technical High School,YES,,,,YES,,,YES,,,,,,,,Current ScriptEd School,"37-02 47th Avenue, Long Island City, NY 11101",http://insideschools.org/component/schools/school/1032,,Queens,9th Grade,12th Grade,1514,418,538,343,215,,,84.7%
11203,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,,,,,,,,,,,,,,,,None; Marine-biology-focused; Underwater Robotics offered,521 WEST AVE,http://insideschools.org/component/schools/school/895,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,517,114,146,146,111,,,100.0%
11372,Renaissance Charter High School,,,,,,,,,,,,,,,YES,Unclear,"35-59 81st Street, Queens 11372",http://insideschools.org/component/schools/school/1318,,Queens,Kindergarten,12th Grade,545*,,,,,74.0%,,
10029,Renaissance Charter High School for Innovation,,,,,YES,,,YES,,,,,,,YES,Unclear,"410 EAST 100 STREET, Manhattan NY 10029",http://insideschools.org/component/schools/school/1668,,Manhattan,9th Grade,12th Grade,435,,,,,82.0%,,
10456,Renaissance High School for Musical Theater & Technology,,,,,,,,,,,,,,,,"None; study dance, music, theater with regular curriculum",3000 EAST TREMONT AVE,http://insideschools.org/component/schools/school/335,BRONX COUNTY,BRONX,9th Grade,12th Grade,454,136,123,110,85,,,100.0%
11215,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,,,,,,,,,,,,,,,,None; theater focus ,123 WEST 43RD ST,http://insideschools.org/component/schools/school/103,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,236,66,66,54,50,,,76.3%
11213,RESEARCH AND SERVICE HIGH SCHOOL,,,,,,,,,,,,,,,,transfer school for older students,"1700 Fulton Street, Brooklyn, NY 11213",http://insideschools.org/component/schools/school/8278,,BROOKLYN,9th Grade,12th Grade,140,45,44,32,19,,,85.7%
10004,Richard R. Green High School for Teaching,YES,,,,YES,,,,,,,,,,,Current ScriptEd School,"7 Beaver Street, New York, NY 10004",http://insideschools.org/component/schools/school/110,,MANHATTAN,9th Grade,12th Grade,593,217,158,95,123,,,84.5%
11418,Richmond Hill High School,,YES,YES,,,,,,,,,,,YES,,Technology Club,"89-30 114th Street, Richmond Hill, NY 11418",http://insideschools.org/component/schools/school/1150,,Queens,9th Grade,12th Grade,2225,743,586,491,405,,,82.0%
11215,ROADS CHARTER SCHOOL 1,,,,,,,,,,,,,,,YES,None; older students,1495 HERKIMER ST,http://insideschools.org/component/schools/school/8158,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,172,,,,,,81%,
10454,ROADS CHARTER SCHOOL II,,,,,,,,,,,,,,,YES,None; older students,1010 REV JAMES POLITE AVE,http://insideschools.org/component/schools/school/8159?Itemid=64,BRONX COUNTY,BRONX,9th Grade,12th Grade,172,,,,,,82%,
11231,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,,,,,,,,,,,,,,,,None,7540 PARSONS BLVD,http://insideschools.org/component/schools/school/1071,QUEENS COUNTY,FLUSHING,9th Grade,12th Grade,685,217,186,150,132,,,81.5%
11212,ROBERT F. WAGNER JR SECONDARY SCHOOL ARTS AND TECHN,,,,,,,,,,,,,,Yes,,Tech Team; involved in PENCIL,4707 30TH PLACE,http://insideschools.org/component/schools/school/1031,QUEENS COUNTY,LONG ISLAND CITY,7th Grade,12th Grade,521,130,150,123,118,,,78.1%
10463,Robert H. Goddard High School of Communication Arts and Technology,,,,,,,,,,,,,,Yes,,"Partnership with Apple computers, iSQUAD",13830 LAFAYETTE ST,http://insideschools.org/component/schools/school/1518,QUEENS COUNTY,OZONE PARK,9th Grade,12th Grade,598,162,155,147,134,,,80.9%
11208,ROCKAWAY COLLEGIATE HIGH SCHOOL,,,,,,,,,,,,,,,,None,10000 BEACH CHANNEL DR,http://insideschools.org/component/schools/school/1732,QUEENS COUNTY,ROCKAWAY PARK,9th Grade,10th Grade,312,101,110,101,0,,,100.0%
10457,Rockaway Park High School for Environmental Sustainability,,,,,,,,,,,,,,,,None,10000 BEACH CHANNEL DR,http://insideschools.org/component/schools/school/1721,QUEENS COUNTY,ROCKAWAY PARK,9th Grade,11th Grade,354,104,101,71,78,,,100.0%
10455,SATELLITE ACADEMY HIGH SCHOOL,,,,,,,,,,,,,,,,"Unclear; Alternative, transfer HS; ungraded classes; ",120 WEST 30TH ST,http://insideschools.org/component/schools/school/1335,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,255,85,75,93,2,,,87.5%
11203,SCHOOL FOR DEMOCRACY AND LEADERSHIP,,,,,,,,,,,,,,,,Unclear; Robotics and Online Learning; (718) 771-4865 ,"600 Kingston Avenue, Brooklyn, NY 11203",http://insideschools.org/component/schools/school/761,,BROOKLYN,6th Grade,12th Grade,267,52,69,76,70,,,85.8%
10456,SCHOOL FOR EXCELLENCE,,,,,,,,,,,,,,,,Unclear,"1110 BOSTON ROAD, BRONX, NY 10456",http://schools.nyc.gov/SchoolPortals/09/X404/default.htm,,BRONX,9th Grade,12th Grade,396,105,105,99,87,,,90.4%
11203,SCHOOL FOR HUMAN RIGHTS,,,,,YES,,,,YES,YES,,,,YES,,Computer Animation Club; (718) 771-4793,"600 Kingston Ave, Brooklyn, NY 11203",http://schools.nyc.gov/SchoolPortals/17/K531/AboutUs/Overview/Extracurricular+Activities.htm,,BROOKLYN,6th Grade,12th Grade,277,64,76,72,65,,,87.3%
11201,School for International Studies,,,YES,,,,,,,,,,,,,None,"284 Baltic Street, Brooklyn, NY 11201",http://insideschools.org/component/schools/school/693,,BROOKLYN,6th Grade,12th Grade,354,125,81,74,74,,,76.2%
11211,SCHOOL FOR LEGAL STUDIES,,,YES,,YES,,,,,YES,,,,,,None,"850 Grand Street, Brooklyn, NY 11211",http://insideschools.org/component/schools/school/651,,BROOKLYN,9th Grade,12th Grade,641,223,169,167,82,,,87.1%
11236,SCHOOL FOR TOURISM AND HOSPITALITY,,,,,,,,,,,,,,Yes,,Web Design Extracurricular,900 TINTON AVE,http://insideschools.org/component/schools/school/8154,BRONX COUNTY,BRONX,9th Grade,9th Grade,161,93,68,0,0,,,91.3%
10461,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,,,,,,,,,,,,,,YES,,"Siemens Society for Math, Science, and Technology Club; Four years of math and science; ","3000 East Tremont Avenue, Bronx NY 10461",http://insideschools.org/component/schools/school/8251,,BRONX,9th Grade,10th Grade,95,95,0,0,0,,,100.0%
11201,"Science Skills Center High School for Science, Technology and the Creative Arts",,,YES,,YES,,,,YES,YES,,,YES,,,Computer Science A course and Technology Club,49 FLATBUSH AVENUE EXTENSION Brooklyn NY 11201,http://insideschools.org/component/schools/school/611,,BROOKLYN,9th Grade,12th Grade,537,178,179,83,97,,,75.0%
11226,"Science, Technology and Research Early College High School at Erasmus",,,YES,,,,,,,,,,,YES,,"Main page has none, but NYC schools page lists Brooklyn College Science Tech Entry Program (STEP) and an after school Technology Club;  Principal: Eric Blake: 718-564-2540",911 FLATBUSH AVENUE Brooklyn NY 11226,"http://schools.nyc.gov/SchoolPortals/17/K543/AboutUs/Overview/Extracurricular+Activities.htm
http://www.starec.org/
http://www.starec.org/class_listing.aspx?id=6a654b4c-5ed5-4cd6-9fd9-4ab4d8a4a4f7",,BROOKLYN,6th Grade,12th Grade,333,90,80,76,87,,,80.8%
11215,SECONDARY SCHOOL FOR JOURNALISM,,,,,,,,,,,,,,YES,,Technology club listed on website,"237 7th Ave, Brooklyn, NY 11215",http://secondaryschoolforjournalism.com/,,BROOKLYN,9th Grade,12th Grade,270,73,68,70,59,,,88.2%
11215,SECONDARY SCHOOL FOR LAW,,,,,,,,,,,,,,,,Unclear; Principal: ONEATHA SWINTON; 718-832-4250,"237 7 AVENUE, Brooklyn, NY 11215",http://schools.nyc.gov/SchoolPortals/15/K462/AboutUs/Overview/Extracurricular+Activities.htm,,BROOKLYN,9th Grade,12th Grade,388,113,97,88,90,,,83.0%
10454,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,,,,,,,,,,,,,,,,Unclear; they have code.org listed as a link/resource,"360 EAST 145 STREET, Bronx NY 10454",http://schools.nyc.gov/SchoolPortals/07/X221/default.htm,,BRONX,6th Grade,12th Grade,351,92,89,82,88,,,95.8%
11231,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,,,,,,,,,,,,,,,,None; difficult commute for some students (17min bus ride after subway),"173 Conover Street, Brooklyn, NY 11231",http://insideschools.org/component/schools/school/698,,BROOKLYN,9th Grade,12th Grade,163,43,60,28,32,,,83.4%
10019,Stephen Mather  for Building Arts and Craftsmanship High School,,,YES,,,,,,,,,,,,,None,"439 WEST 49TH STREET, Manhattan, NY 10019",http://insideschools.org/component/schools/school/8252,,MANHATTAN,9th Grade,10th Grade,85,85,0,0,0,,,83.5%
10451,SUNSET PARK HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear - there are 44 after school clubs,153 35TH ST,http://insideschools.org/component/schools/school/1597,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,1309,338,338,324,309,,,82.4%
11212,TEACHERS PREPARATORY HIGH SCHOOL,,,,,,,,,,,,,,,,None; (718) 498-2605," 226 Bristol Street, Brooklyn, NY 11212",http://www.teachersprep.org/,,BROOKLYN,6th Grade,12th Grade,366,118,94,110,44,,,78.6%
11221,The Brooklyn Academy of Global Finance,,YES,YES,,,,,,,,,,,,,Unclear,"125 Stuyvesant Avenue, Brooklyn, NY 11221",http://insideschools.org/component/schools/school/1598?Itemid=78,,BROOKLYN,6th Grade,12th Grade,53,38,32,25,,,,100.0%
10468,THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,,,,,,,,,,,,,,,,None; music training; most extracurriculars have to do with music,"2780 Reservoir Avenue, Bronx, NY 10468",http://www.ccbxhsm.org/,,BRONX,9th Grade,12th Grade,436,147,112,90,87,,,83.7%
11201,THE CINEMA SCHOOL,,,,,,,,,,,,,,Yes,,Focus on filmmaking; web design extracurricular,1551 EAST 172ND ST,http://thecinemaschool.org/,BRONX COUNTY,BRONX,9th Grade,12th Grade,318,83,96,84,55,,,79.2%
10040,THE COLLEGE ACADEMY,,,,,,,,,,,,,,,,None; students create mock businesses,"549 AUDUBON AVENUE, Manhattan NY 10040",http://insideschools.org/component/schools/school/255,,MANHATTAN,9th Grade,12th Grade,546,116,121,142,167,,,93.4%
10475,THE EQUALITY CHARTER SCHOOL,,,,,,,,,,,,,,,YES,9th grade opened 2014; adding a grade each year; math and scence focus,"715 Castle Hill Avenue, Bronx 10473 ",http://insideschools.org/component/schools/school/1601,,BRONX,9th Grade,9th Grade,238,,,,,74.0%,,
10023,THE GLOBAL LEARNING COLLABORATIVE,,,,,,,,,,,,,,,,None; Trip to China and Chinese available; ,145 WEST 84TH ST,http://www.theglcnyc.org/apps/pages/index.jsp?uREC_ID=203575&type=d,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,480,141,151,105,83,,,89.6%
11211,"The HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",,YES,YES,YES,,,,,,,,,,,,MOUSE and National Technical Honor Society,"850 Grand Street, Brooklyn, NY 11211",http://insideschools.org/component/schools/school/652,,BROOKLYN,9th Grade,12th Grade,1016,290,303,189,234,,,81.2%
10011,The High School of Fashion Industries,,,YES,,,,,,,,,,,,,"Majors: Fashion design or marketing, and grapahics/illustration","225 West 25th St, Manhattan NY 10011",http://insideschools.org/component/schools/school/112,,MANHATTAN,9th Grade,12th Grade,1732,495,560,346,331,,,81.6%
11217,"The Marie Curie School for Medicine, Nursing, and Health Professions",,,,,,,,,,,,,,,,None; pursue medical careers,120 WEST 231ST ST,http://insideschools.org/component/schools/school/463,BRONX COUNTY,BRONX,9th Grade,12th Grade,573,172,152,139,110,,,100.0%
10002,The Metropolitan Soundview High School,,,,,,,,,,,,,,,,None,1300 BOYTON AVE,http://insideschools.org/component/schools/school/1738,BRONX COUNTY,BRONX,9th Grade,10th Grade,316,115,109,92,0,,,100.0%
10004,THE NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANI,,,,,,,,,,,,,,,YES,Unclear,99 TERRACE VIEW AVESTE 138,"http://insideschools.org/component/schools/school/1740
http://www.newvisions.org/schools/entry/humanities",NEW YORK COUNTY,BRONX,9th Grade,12th Grade,241,,,,,,75%,
10026,THE OPPORTUNITY CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Unclear ,"240 West 113 Street, Manhattan 10026",http://insideschools.org/component/schools/school/1391,,Manhattan,6th Grade,12th Grade,447*,,,,,,,
11208,The School for Classics: An Academy of Thinkers,,,,,YES,YES,,,,,,,,,,None,"370 Fountain Avenue, Brooklyn, NY 11208",http://insideschools.org/component/schools/school/1651,,Brooklyn,9th Grade,12th Grade,309,67,78,75,89,,,86.1%
10451,The Urban Assembly BRONX ACADEMY OF LETTERS,,,,,,,,,,,,,,,,None - Reading & Writing focused,"339 Morris Avenue, Bronx, NY 10451",http://www.bronxletters.com/,,BRONX,6th Grade,12th Grade,326,77,86,83,80,,,91.3%
11201,THE URBAN ASSEMBLY SCHOOL OF MUSIC AND ART AT WATE,,,,,,,,,,,,,,,,None,"49 FLATBUSH AVENUE EXTENSION, Brookly NY 11201",http://uamusicandart.org/,,BROOKLYN,9th Grade,12th Grade,394,109,116,94,75,,,83.2%
11216,THEATRE ARTS PRODUCTION COMPANY SCHOOL (TAPCo),,,,,,,,,,,,,,Yes,,"Technology Squad; aspiring artists, musicians, actors; students can take classes at Lehman College",2225 WEBSTER AVE,http://www.tapconyc.org/,BRONX COUNTY,BRONX,6th Grade,12th Grade,344,105,98,82,59,,,100.0%
11432,Thomas Edison Career and Technical Education High School,,,YES,,,,,,,,,,,YES,,Computer Club,"165-65 84th Avenue, Jamaica, NY 11432",http://insideschools.org/component/schools/school/1184,,Queens,9th Grade,12th Grade,2168,539,535,519,575,,,76.8%
10030,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,,,,,,,,,,,,,,,,"Unclear, no extracurriculars in tech: 212-283-8055","200-214 WEST 135TH STREET; Manhattan, NY 10030",http://schools.nyc.gov/schoolportals/05/m670/default.htm,,MANHATTAN,6th Grade,12th Grade,403,138,85,85,95,,,75.9%
11207,UFT Charter,,,,,,,,,,,,,,,YES,Middle School free/reduced lunch stat is 87%; no info on HS,"800 Van Siclen Ave, Brooklyn 11207",http://www.uftcharterschool.net/,,BROOKLYN,Kindergarten,12th Grade,991*,,,,,,83.0%,
10003,Union Square Academy for Health Sciences,,,YES,,,,,,,,,,,,,unclear ,"40 Irving Place, New York, NY 10003",http://insideschools.org/component/schools/school/8150,,MANHATTAN,9th Grade,11th Grade,223,121,102,0,0,,,83.4%
10016,UNITY CENTER FOR URBAN TECHNOLOGIES,,,,,,,,,,,,,,,,Unclear; a lot of work done on technology,"111 EAST 33RD STREET, Manhattan NY 10016",http://www.ucfut.net/,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,255,91,89,34,41,,,91.0%
11373,UNIVERSITY HEIGHTS SECONDARY SCHOOL,,,,,,,,,,,,,,Yes,,Technology Club,701 ST ANNS AVE,http://insideschools.org/component/schools/school/480,BRONX COUNTY,BRONX,9th Grade,12th Grade,466,125,126,120,95,,,89.3%
10002,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,,,,,,,,,,,,,,,,Robotics and Digital Art offered,"200 MONROE STREET, Manhattan NY 10002",http://insideschools.org/component/schools/school/25,,MANHATTAN,9th Grade,12th Grade,299,90,80,60,69,,,89.3%
10455,UNIVERSITY PREP CHARTER HIGH SCHOOL,,,,,,,,,,,,,,,YES,Aims to replicate success of Green Dot schools in L.A.,600 ST ANN'S AVE,http://insideschools.org/component/schools/school/1539,,BRONX,9th Grade,12th Grade,364,,,,,92.0%,,
11236,Urban Action Academy,,,YES,,,,,,,,,,,,,Unclear,"1600 Rockaway Parkway, Brooklyn, NY 11236",http://insideschools.org/component/schools/school/1512?Itemid=64,,BROOKLYN,9th Grade,12th Grade,312,92,80,70,70,,,78.8%
10002,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,,,,,,,,,,,,,,,,None,"350 Grand Street, New York, NY 10002",http://urbanassembly.org/gal.html,,MANHATTAN,9th Grade,12th Grade,326,105,85,82,54,,,81.9%
10027,URBAN ASSEMBLY FOR THE PERFORMING ARTS,,,,,,,,,,,,,,,,Unclear - Uses arts as teaching tool for college-prep curriculum,"509 West 129th Street, New York, NY 10027",http://insideschools.org/component/schools/school/1381,,MANHATTAN,9th Grade,12th Grade,354,135,100,64,55,,,85.9%
10019,Urban Assembly Gateway School for Technology,,,YES,YES,YES,,,YES,YES,,,,,,,"Computer and IT, IC3, Mouse Squad","439 West 49th Street, New York, NY 10019",http://insideschools.org/component/schools/school/1739,,MANHATTAN,9th Grade,12th Grade,367,131,130,106,0,,,100.0%
11206,Urban Assembly Institute of Math and Science for Young Women,,,,,,,,,,,,,,Yes,,Tech Gals Club; Khan Academy,283 ADAMS ST,http://insideschools.org/component/schools/school/1359,KINGS COUNTY,BROOKLYN,6th Grade,12th Grade,285,89,73,68,55,,,83.5%
10457,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,,,,,,,,,,,,,,,,Unclear; math & science focus,"1595 Bathgate Avenue, Bronx, NY 10457",http://insideschools.org/component/schools/school/464,,BRONX,6th Grade,12th Grade,347,96,80,90,81,,,92.7%
11211,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,,,,,,,,,,,,,,,,Unclear; 22 sports teams offerings,730 CONCOURSE VILLAGE WEST,"http://insideschools.org/component/schools/school/294
http://www.urbanassemblyschool.net/",BRONX COUNTY,BRONX,9th Grade,12th Grade,575,155,156,138,126,,,85.0%
11211,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,,,,,,,,,,,,,,,None; All-girls school with criminal justice theme,4200 16TH AVE,http://insideschools.org/component/schools/school/1570,KINGS COUNTY,BROOKLYN,6th Grade,11th Grade,301,101,75,60,65,,,90.1%
10038,Urban Assembly School for Emergency Management,,,YES,,,,,,,,,,,,,None,"411 PEARL STREET, Manhattan, NY 10038",http://insideschools.org/component/schools/school/8241,,ManHATTAN,9th Grade,N/A,116,116,0,0,0,,,100.0%
10035,Urban Assembly School for Global Commerce,,,YES,,,,,,,,,YES,,,,C/I has one after-school class,"2005 Madison Avenue, New York, NY 10035",http://insideschools.org/component/schools/school/8242?Itemid=64,,MANHATTAN,9th Grade,10th Grade,82,82,0,0,0,,,84.1%
10024,Urban Assembly School for Green Careers,,,YES,,,,,,,,,,,,,None,"145 West 84th Street, New York, NY 10024",http://insideschools.org/component/schools/school/1593?Itemid=64,,MANHATTAN,9th Grade,12th Grade,395,141,98,90,66,,,90.1%
11201,Urban Assembly School for Law and Justice,,,,,YES,,,,,YES,,,,YES,,Technology Club,"283 Adams Street, Brooklyn, NY 11201",http://insideschools.org/component/schools/school/614,,Brooklyn,9th Grade,12th Grade,449,118,124,104,103,,,74.6%
10023,Urban Assembly School for Media Studies,,,,,,,,,,,,YES,,,,Three C/I classes,"122 AMSTERDAM AVENUE, Manhattan NY 10023",http://insideschools.org/component/schools/school/151,,MANHATTAN,9th Grade,12th Grade,387,114,112,100,61,,,77.0%
11211,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,,,,,,,,,,,,,,,,"None; aka the ""zoo school""",2024 MOHEGAN AVE,http://insideschools.org/component/schools/school/1468,BRONX COUNTY,BRONX,6th Grade,11th Grade,332,102,86,83,61,,,100.0%
10004,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,,,,,,,,,,,,,,,,"All girls, ""Students at this all-girls’ school may walk to Goldman Sachs, American Express or the Federal Reserve to meet with mentors""; Part of 7 NYC CTE HSs; CTE symposium held 12/13/14 at NYU, sponsored by JP Morgan","26 Broadway, New York, NY 10004","http://urbanassembly.org/
http://insideschools.org/component/schools/school/24",,MANHATTAN,9th Grade,12th Grade,412,126,117,86,83,,,81.6%
10019,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,,,,,,,,,,,,,,,,Focus on design and architecture,"525 West 50th Street, New York, NY 10019",http://insideschools.org/component/schools/school/76,,MANHATTAN,9th Grade,12th Grade,427,111,129,99,88,,,79.2%
11216,URBAN DOVE CHARTER SCHOOL,,,,,,,,,,,,,,,YES,several hours of sports offered every day,600 LAFAYETTE AVE,http://www.urbandove.org/team-charter-school.html,,BROOKLYN,9th Grade,12th Grade,107,,,,,,83.2%,
10457,Validus Preparatory Academy: An Expeditionary Learning School,,,,,,,,,,,,,,,,None; additional clubs added at students' request; Partnership with Outward Bound; focus on physical fitness,"1595 Bathgate Avenue, Bronx, NY 10457",http://insideschools.org/component/schools/school/331,,BRONX,9th Grade,12th Grade,374,92,104,85,93,,,90.1%
10021,VANGUARD HIGH SCHOOL,,,,,,,,,,,,,,,,"None; small, openminded school","317 East 67th Street, New York, NY 10065",http://www.vanguardnyc.net/,,MANHATTAN,9th Grade,12th Grade,469,154,105,106,104,,,75.5%
11354,VERITAS ACADEMY,,,,,,,,,,,,,,,,None; bilingual program for Korean speakers; Digital World elective,"35-01 UNION STREET, Queens, NY 11354",http://insideschools.org/component/schools/school/8246,,Queens,9th Grade,10th Grade,124,124,0,0,0,,,73.4%
11236,Victory Collegiate High School,,,,,YES,,,,,YES,,,,,,None,"6565 Flatlands Avenue, Brooklyn, NY 11236",http://insideschools.org/component/schools/school/1486,,Brooklyn,9th Grade,12th Grade,332,82,94,86,70,,,77.4%
11434,VOYAGES PREPARATORY HIGH SCHOOL SOUTH QUEENS,,,,,,,,,,,,,,,,modeled on Voyages Prep success; transfer school for overage students,"156-10 Baisley Boulevard, Queens NY 11434",http://insideschools.org/component/schools/school/8262,,Queens,9th Grade,12th Grade,150,150,0,0,0,,,83.3%
11225,W. E. B. DUBOIS ACADEMIC HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear; computer lab and science; for overaged students,"402 Eastern Parkway, Brooklyn, NY 11225",http://insideschools.org/component/schools/school/757?Itemid=64,,BROOKLYN,9th Grade,12th Grade,131,10,55,23,43,,,76.3%
11207,W. H. Maxwell Career and Technical Education High School,,,YES,,,,,,,,,,,,,Computers and Arts class,"145 Pennsylvania Avenue, Brooklyn,  New York 11207  ",http://www.maxwellhs.org/Home_Page.html,,BROOKLYN,9th Grade,12th Grade,463,168,141,84,70,,,87.7%
10026,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING AND VISUAL ARTS,,,,YES,,,,,,,,,,,,MOUSE,"215 West 114 St, Manhattan NY 10026",http://insideschools.org/component/schools/school/152,,MANHATTAN,6th Grade,12th Grade,457,178,115,80,84,,,100.0%
10033,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,,,,,,,,,,,,,,,,None,"511 West 182nd Street, New York, NY 10033",http://wheelsnyc.org/,,MANHATTAN,6th Grade,12th Grade,384,104,84,91,105,,,100.0%
10458,WEST BRONX ACADEMY FOR THE FUTURE,,,,,,,,,,,,,,,,"Technology-infused education - 
""learn by doing… technology-enhanced investigations""","500 East Fordham Road, Bronx, NY 10458",http://www.bronxacademy.org/,,BRONX,6th Grade,12th Grade,347,135,107,69,36,,,92.8%
11207,WEST BROOKLYN COMMUNITY HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear,1053 41ST ST,http://insideschools.org/component/schools/school/1367,KINGS COUNTY,BROOKLYN,10th Grade,12th Grade,215,0,79,72,64,,,76.3%
11433,WESTCHESTER SQUARE ACADEMY,,,,,,,,,,,,,,Yes,,Technology elective,3000 EAST TREMONT AVE,http://insideschools.org/component/schools/school/8152,BRONX COUNTY,BRONX,9th Grade,9th Grade,251,143,108,0,0,,,100.0%
11235,William E. Grady Career and Technical Education High School,,,YES,,YES,,,,YES,YES,,,,,,"CTE Program for Engineering/IT (MUS, A+, IC3, CISCO), MOUSE Squad","25 BRIGHTON 4TH ROAD, Brooklyn NY 11235",http://gradyhs.com/cte-programs/,,BROOKLYN,9th Grade,12th Grade,636,228,162,106,140,,,88.5%
